User,Amount
0xa028f85C62Cab55fd61D9A2A0c8827a61188BA8E,113237482276224748031
0x7F2e54d53258Dc45b8581f11F924075146608D19,18189830039124134399
0x1A97307FEE4dc869c0310fD0f87D7e77ca856987,824641618364960391
0x2fFB0EF286951E58E392f81e3cBDc769eB3Ea30d,10399579501645916748
0x1e4133cBCE3dFDd22a66F58c41a68D726d51dd59,20656416094901364885
0xf8dda9a12EADbBd4CF98Da27BeBa8c69AF866966,353367104849386957
0x40430074c133e1cF40c6eE4d14c97cB55Fd3c0a5,4266143753440411241
0xd01E263CF2a0B27BAA6627c8DD93642285A67cBd,79944487777830079002
0x557A72529Fb7AdaCc368dEd25d7c4D5e981dE595,821474666608267932
0x2eC9D08BC57441746228FCFFF08cE640Add200EB,5911557813438831365
0x4eAeB537e7b152738c853910d0BD2F6CD81276Cd,2754022341469582032
0x279bFb85E0DF645AD699bA03503a4a8C6c087B98,2254444523263728376
0x52d11cf885b845aFEBd9B936ae11fa1957702232,130946461977954018
0xcdfD2aA6Dc6780A49Dea2934124b736317DD9A55,24584050047009165197
0x964dF1b0B7E47326CEe4E70a23AeeD2837e47240,112686544016332907967
0x171D64661Ee33CC9296ae048C753c529641F65bb,1104904444595105899
0xe6Eba4A59C40fB0847b151599a5362dCe5A0671B,1086402378295617367
0x37098E77B5408a2236874e78422C10F7983303Cf,288858123106450078873
0x69087Ea14Ab04A0b4cdfB3E16954CC0fcef06f17,3972582578077267339
0x7BeBA6141E2c8D3472671963992fB95977a61e54,547293901138790606
0x0bd60A525e66A591f66C79c553DA18fe2d8f1a98,197842911963833311245
0xe7D080567007089df20E906f17E6b0f5f2ccbB0A,11433309625734933810
0x1cC972Ff969689873f8010bDD0Cf3dC30618397E,14882723468955204968
0x7da952174cE57fc5ef30cA75c68FB36Bec17474b,21263524817108700966
0x41d90Ece418559BB521B6E77C308A0EeE8aE5A21,393429899854845150
0x4BC214ec2dFc335af4e1ea348131190Aa9C4c461,14320631439185716241
0xDD11EF5a5Ac03C24B5079c05a8904cDbB2eCf59D,139280621667689019704
0x7e2A9CDf1946Ea3c9c605B2a6AeeA89eEA5F6573,79195084923562534904
0x6CFE0bAf1aeC4cBCB82298DFB8ba1c4e54Ce57cF,2855868968034450556
0x895537E51225476ac7D247e0A0438b17a3931c47,11465877405099913848
0x9A4338dfF0C995C4e8b225586EdbEb8979e019b4,19202295222797407274
0x16bFE39Ecf3C717CB73B10cAF97c3260A1586b0B,37777037468874141153
0xb1F19dF9cf8f3825Ee880622a37eDBBa6b155a76,22708931144063624012
0xFA3B3DC78Dc9a7E38E47966d04d33336508F2f80,13122531577397378606
0xD67045e40ee0ea7B8b542357E336f90c53bA13e9,9642414682998578095
0x8d0332Fa4597fcaeefD2840F9299fa60CAfd39B7,17838015955339238415
0x7f4d80859AC40C67f5e1EbEC024C7bF4c3365561,7945418115593051999
0x376508cC74098ef17A1241487b34c11A454C91E7,574369574363086110
0x4F795A3D594124B7cD4175aDa15E6D4F67eA482b,11481769686087720735
0x331c4fBa3AeeA4d217624c50f433dce8F6BfF9cc,1819090021415431047
0x8f3Ddb74C61a70724370d8ccE3DE8d74BE68b445,18393653642132284852
0x1aB394CE32830d70255AB8ACE5fDC4e2Ece1edfd,2050395558968340366
0x9d1371522689EC86646DdEe78d828938fdb4bD26,73821434822866931496
0x5E9940f0646432C6dD823E9733A95a60051ab01a,267223952409225770
0x5fd08dCa0A5F9256C4248909e4614E6Daa5A9C8c,15262464120865618974
0x4fb760cCC82309345A3ff31e12895140E22D225d,1553209443732886322
0x0801964739CeffC59b3390DDbc851553C7585EAE,36645907565613795282
0x6e3aC8336A7008C94eE614E481E21D999494EE63,4391868353431621625
0x4c7512f396536340f598735Be36522EC7C61c82a,2422218941275099587
